Data_time,LIMS:KUPN.U100.V107.ChlIons,LIMS:KUPN.U100.V107.H2S
25-мая-21 0:00:00,162.3361969,39.46829987
26-мая-21 0:00:00,160.5424194,39.46829987
27-мая-21 0:00:00,169.5112762,39.46829987
28-мая-21 0:00:00,216.149292,39.46829987
29-мая-21 0:00:00,216.149292,39.46829987
30-мая-21 0:00:00,216.149292,39.46829987
31-мая-21 0:00:00,216.149292,39.46829987
01-июн.-21 0:00:00,183.8614349,21.26650047
02-июн.-21 0:00:00,151.5735626,21.26650047
03-июн.-21 0:00:00,191.0365143,21.26650047
04-июн.-21 0:00:00,160.677124,21.26650047
05-июн.-21 0:00:00,174.5735321,21.26650047
06-июн.-21 0:00:00,174.5735321,21.26650047
07-июн.-21 0:00:00,174.5735321,21.26650047
08-июн.-21 0:00:00,164.1512299,53.16619873
09-июн.-21 0:00:00,176.3105774,53.16619873
10-июн.-21 0:00:00,178.0476227,53.16619873
11-июн.-21 0:00:00,186.7328796,53.16619873
12-июн.-21 0:00:00,202.366333,53.16619873
13-июн.-21 0:00:00,202.366333,53.16619873
14-июн.-21 0:00:00,202.366333,53.16619873
15-июн.-21 0:00:00,202.366333,53.16619873
16-июн.-21 0:00:00,205.8404236,36.68470001
17-июн.-21 0:00:00,207.5774841,36.68470001
18-июн.-21 0:00:00,195.4181366,36.68470001
19-июн.-21 0:00:00,167.6253357,36.68470001
20-июн.-21 0:00:00,167.6253357,36.68470001
21-июн.-21 0:00:00,167.6253357,36.68470001
22-июн.-21 0:00:00,186.7328796,36.68470001
23-июн.-21 0:00:00,188.4699249,36.68470001
24-июн.-21 0:00:00,191.9440308,36.68470001
25-июн.-21 0:00:00,184.9958344,36.68470001
26-июн.-21 0:00:00,205.8404236,36.68470001
27-июн.-21 0:00:00,205.8404236,36.68470001
28-июн.-21 0:00:00,205.8404236,36.68470001
29-июн.-21 0:00:00,198.8922272,20.93420029
30-июн.-21 0:00:00,191.9440308,20.93420029
01-июл.-21 0:00:00,202.366333,20.93420029
02-июл.-21 0:00:00,189.4864655,20.93420029
03-июл.-21 0:00:00,55.3046608,20.93420029
04-июл.-21 0:00:00,55.3046608,20.93420029
05-июл.-21 0:00:00,55.3046608,20.93420029
06-июл.-21 0:00:00,200.3660583,18.75390053
07-июл.-21 0:00:00,196.7395325,18.75390053
08-июл.-21 0:00:00,10441.96582,18.75390053
09-июл.-21 0:00:00,211.2456665,18.75390053
10-июл.-21 0:00:00,145.9680328,18.75390053
11-июл.-21 0:00:00,145.9680328,18.75390053
12-июл.-21 0:00:00,145.9680328,18.75390053
13-июл.-21 0:00:00,138.7149658,20.72800064
14-июл.-21 0:00:00,124.2088318,20.72800064
15-июл.-21 0:00:00,178.6068573,20.72800064
16-июл.-21 0:00:00,40.79851913,20.72800064
17-июл.-21 0:00:00,80.6904068,20.72800064
18-июл.-21 0:00:00,80.6904068,20.72800064
19-июл.-21 0:00:00,80.6904068,20.72800064
20-июл.-21 0:00:00,67.99754333,21.71500015
21-июл.-21 0:00:00,51.6781311,21.71500015
22-июл.-21 0:00:00,80.6904068,21.71500015
23-июл.-21 0:00:00,78.87713623,21.71500015
24-июл.-21 0:00:00,48.05158997,21.71500015
25-июл.-21 0:00:00,48.05158997,21.71500015
26-июл.-21 0:00:00,48.05158997,21.71500015
27-июл.-21 0:00:00,40.79851913,18.75390053
28-июл.-21 0:00:00,37.17198944,18.75390053
29-июл.-21 0:00:00,44.42506027,18.75390053
30-июл.-21 0:00:00,51.6781311,18.75390053
31-июл.-21 0:00:00,49.86486053,18.75390053
01-авг.-21 0:00:00,49.86486053,18.75390053
02-авг.-21 0:00:00,49.86486053,18.75390053
03-авг.-21 0:00:00,40.79851913,39.48189926
04-авг.-21 0:00:00,48.05158997,39.48189926
05-авг.-21 0:00:00,40.79851913,39.48189926
06-авг.-21 0:00:00,26.29237938,39.48189926
07-авг.-21 0:00:00,22.66584969,39.48189926
08-авг.-21 0:00:00,22.66584969,39.48189926
09-авг.-21 0:00:00,22.66584969,39.48189926
